CDS	County	District	School	EL	FEP	Reclass
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	68	121	15
01100170123968	Alameda	Alameda County Office of Education	Community School for Creative Education	131	37	3
01100170124172	Alameda	Alameda County Office of Education	Yu Ming Charter	48	132	0
01100170125567	Alameda	Alameda County Office of Education	Urban Montessori Charter	63	18	2
01100170129403	Alameda	Alameda County Office of Education	Epic Charter	0	0	1
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	9	8	0
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	28	17	0
01100170131581	Alameda	Alameda County Office of Education	Oakland Unity Middle	62	52	0
01100170136101	Alameda	Alameda County Office of Education	Connecting Waters Charter - East Bay	16	76	7
01100170136226	Alameda	Alameda County Office of Education	Opportunity Academy	14	25	0
01100170137448	Alameda	Alameda County Office of Education	Aurum Preparatory Academy	53	59	0
01100170138867	Alameda	Alameda County Office of Education	Hayward Collegiate Charter	30	18	0
01100176001788	Alameda	Alameda County Office of Education	Cox Academy	262	87	0
01100176002000	Alameda	Alameda County Office of Education	Lazear Charter Academy	215	124	2
01316090131755	Alameda	California School for the Blind (State Special Sch	California School for the Blind	10	16	3
01316170131763	Alameda	California School for the Deaf-Fremont (State Spec	California School for the Deaf-Fremont	33	18	0
01611190000001	Alameda	Alameda Unified	Nonpublic, Nonsectarian Schools	2	0	0
01611190106401	Alameda	Alameda Unified	Alameda Science and Technology Institute	13	99	2
01611190111765	Alameda	Alameda Unified	Ruby Bridges Elementary	99	29	3
01611190119222	Alameda	Alameda Unified	Nea Community Learning Center	89	92	5
01611190122085	Alameda	Alameda Unified	The Academy of Alameda	66	100	8
01611190130229	Alameda	Alameda Unified	Alameda High	99	463	8
01611190130609	Alameda	Alameda Unified	Alameda Community Learning Center	48	80	0
01611190130625	Alameda	Alameda Unified	Alternatives in Action	97	53	0
01611190131805	Alameda	Alameda Unified	The Academy of Alameda Elementary	53	36	3
01611190132142	Alameda	Alameda Unified	Encinal Junior/Senior High	119	304	9
01611190134304	Alameda	Alameda Unified	Island High (Continuation)	6	4	0
